task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
191	b5/fdb042	419533	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_ASSIGNGENES (SRR1383453)	COMPLETED	0	2025-01-28 11:29:40.587	53.1s	48s	202.3%	83.8 MB	285.8 MB	14.8 MB	15.9 MB
196	42/e21084	423771	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_ASSIGNGENES (SRR1383452)	COMPLETED	0	2025-01-28 11:30:09.691	47.9s	43s	197.3%	83.3 MB	285.6 MB	14.2 MB	14.4 MB
197	73/26b2ac	425742	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_ASSIGNGENES (SRR1383465)	COMPLETED	0	2025-01-28 11:30:33.671	1m 5s	1m 2s	201.8%	86.8 MB	286.5 MB	16.6 MB	19.9 MB
198	53/c1d8d5	427406	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_ASSIGNGENES (SRR1383451)	COMPLETED	0	2025-01-28 11:30:57.617	2m 57s	2m 53s	204.7%	105 MB	292.8 MB	33.6 MB	57.7 MB
200	39/cb32b0	435014	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_MAKEDB (SRR1383466)	COMPLETED	0	2025-01-28 11:33:54.244	7.4s	4s	46.6%	76.6 MB	1.1 GB	15.7 MB	124.4 KB
201	c6/f41b31	435618	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_MAKEDB (SRR1383467)	COMPLETED	0	2025-01-28 11:34:01.623	5.9s	2s	110.7%	80.5 MB	1.1 GB	16.8 MB	402.2 KB
202	06/4ebc9e	436322	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_PARSEDB_SPLIT (SRR1383456)	COMPLETED	0	2025-01-28 11:34:07.509	3.5s	0ms	86.7%	5 MB	10.8 MB	5.8 MB	28.7 KB
203	d6/aa8c83	436850	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_MAKEDB (SRR1383453)	COMPLETED	0	2025-01-28 11:34:11.019	8.4s	5s	70.5%	85.4 MB	1.1 GB	33.6 MB	4.6 MB
207	53/af65ea	435654	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_QUALITY (SRR1383466)	COMPLETED	0	2025-01-28 11:34:02.629	20.9s	16.6s	100.2%	636.8 MB	1.9 GB	135.3 MB	145.5 KB
204	e0/515283	438488	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_MAKEDB (SRR1383452)	COMPLETED	0	2025-01-28 11:34:19.451	8.1s	5s	71.0%	85.4 MB	1.1 GB	31.9 MB	4.2 MB
