subj_locus	gene	clone_count	clone_freq	sample_id	subject_id	locus
SRR1383468_M5_IG	IGHV1-45	1	0.024390243902439	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV1-69	1	0.024390243902439	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV1-8	1	0.024390243902439	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV2-5	1	0.024390243902439	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-21	1	0.024390243902439	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-73	1	0.024390243902439	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV4-30-2	1	0.024390243902439	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV4-30-4	1	0.024390243902439	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV4-4	1	0.024390243902439	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV5-51	1	0.024390243902439	SRR1383468	M5	IG
SRR1383451_M4_IG	IGHV3-30-5	2	0.00100351229302559	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV4-34	2	0.00100351229302559	SRR1383451	M4	IG
SRR1383452_M4_IG	IGHV1-45	2	0.00282885431400283	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-43	2	0.00282885431400283	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-73	2	0.00282885431400283	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV4-39	2	0.00282885431400283	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV4-61	2	0.00282885431400283	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV1-58	2	0.00278551532033426	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-43	2	0.00278551532033426	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-73	2	0.00278551532033426	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV2-26	2	0.00284900284900285	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-43	2	0.00284900284900285	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV1-45	2	0.00177304964539007	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV2-26	2	0.00177304964539007	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV3-43	2	0.00177304964539007	SRR1383465	M5	IG
SRR1383466_M5_IG	IGHV3-21	2	0.117647058823529	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV3-30	2	0.117647058823529	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV3-7	2	0.117647058823529	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV4-59	2	0.117647058823529	SRR1383466	M5	IG
SRR1383467_M5_IG	IGHV1-2	2	0.0294117647058824	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV1-46	2	0.0294117647058824	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-30-3	2	0.0294117647058824	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-74	2	0.0294117647058824	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV4-30-2	2	0.0294117647058824	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV4-61	2	0.0294117647058824	SRR1383467	M5	IG
SRR1383468_M5_IG	IGHV3-53	2	0.0487804878048781	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-74	2	0.0487804878048781	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV4-61	2	0.0487804878048781	SRR1383468	M5	IG
SRR1383451_M4_IG	IGHV1-58	3	0.00150526843953838	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV4-31	3	0.00150526843953838	SRR1383451	M4	IG
